根据startDate和endDate计算workingDays, calculateWorkingDays
处理menu中的mouse drag事件, processMenuDragMouseEvent
返回指定像素在sRGB中blue分量0-255, getBlue
根据给定id获取timezone及其type, getTimeZone
连接信息可用时回调, onConnectionInfoAvailable
通知popupMenu监听器其将变为可见, firePopupMenuWillBecomeVisible
判断display是否仍valid, isValid
从intent获取serializable extra, getSerializableExtra
从restore流读取record原始数据, readEntityData
解析xml属性获取layoutManager常用属性, getProperties
开启/关闭mono模式, setMono
获取hint文本的资源ID, getHintId
listRowPresenter应用overlay color时保持child foreground drawable, setKeepChildForeground
对象text与给定字符串完全匹配时返回条件, textEquals
获取UUID包装器代表的UUID, getUuid
返回数组value数量, length
将actions列表滚动到position并选中对应action视图, setSelectedActionPosition
将file descriptors排队供peer发送, setFileDescriptorsForSend
以指定format和bufferSize打开line并start, open
若guidedStepSupportFragment可独立activity启动，则finish其上所有fragment, finishGuidedStepSupportFragments
创建与测试类同类型contentProvider，权限设为authority，底层为SQLite, newResolverWithContentProviderFromSql
若fillBefore为true，动画将在startTime前应用变换, setFillBefore
返回submitButton是autoEnable还是neverShow, isSubmitButtonEnabled
返回set排序使用的comparator，natural ordering则为null, comparator
itemAnimator调用以通知listener所有pending/active动画已完成, dispatchAnimationsFinished
设置content scrim color, setContentScrimColor
为name/value构建便于ContentObserver监控的content URI, getUriFor
返回设备支持的event codes, getEventsSupported
设置region边界的path, getBoundaryPath
返回每个span首个fully visible view的adapter position, findFirstCompletelyVisibleItemPositions
返回顺序执行this及after的组合BiConsumer, andThen
指示remoteConnection继续拨号后DTMF字符串, postDialContinue
根据给定参数创建IME事件并dispatch到client组件, dispatchInputMethodEvent
指示监控操作的progress, setProgress
广播接收器版本：用于异步广播处理的setResult(int,String,Bundle), setResult
实例化activity对象, newActivity
返回entry中value数量, getValueCount
判断mediaSize是否为portrait（高≥宽）, isPortrait
将listener添加为model变更监听, addChangeListener
返回logging/注册幂等使用的resource name, getName
返回用于BLE advertising的BluetoothLeAdvertiser, getBluetoothLeAdvertiser
返回实现titleView的adapter.provider视图, getTitleView
设置detail页面的primary item, setItem
返回exception的错误码, getError
获取可写SQLXML实例的XML值流, setBinaryStream
获取session的controller, getController
限制app写入track buffer的有效大小, setBufferSizeInFrames
清除给定time字段的值, clear
返回属性在对象上表示的当前值, get
记录当前instrumentation并将参数包副本存registry, registerInstance
顺序对剩余元素执行action直到处理完或抛异常, forEachRemaining
获取session的MediaControllerCompat.TransportControls, getTransportControls
返回用户选择的value, getValue
返回serviceUuid上设置的filter, getServiceUuid
fragment不再attach到activity时调用, onDetach
获取name指定节点, getNamedItem
获取处理未注册参数值时使用的sanitizer, getUnregisteredParameterValueSanitizer
判断给定路径external storage是否emulated, isExternalStorageEmulated
将model选中index设为给定index, setSelectedIndex
根据bitmap及hotspot创建custom cursor, create
注册ImageConsumer与ImageProducer以便重建Image时访问数据, addConsumer
返回compose text开始index, getComposingTextStart
返回track实例的playState, getPlayState
返回底层view的class name, getClassName
用户点击wearable列表顶部空白区域时调用, onTopEmptyRegionClick
source或其ancestor变为visible时调用, ancestorAdded
将ARGB颜色转换为CIE XYZ分量, colorToXYZ
JTextComponent安装UI时被调用, install
见ContentProvider#getStreamTypes, getStreamTypes
获取遍历前访问的节点, getTraversalBefore
返回执行后给app的extra Bundle, getExtras
设置view的background color, setBackgroundColor
相对get方法读取char值, getChar
判断bitmap filter是否激活, isFilterBitmap
获取kernelIdsRcATop的内核ID, getKernelIdsRcATop
返回当前毫秒值（不重新计算）, internalGetTimeInMillis
设置event的action, setAction
内容分级未被家长控制阻止、允许观看时调用, onContentAllowed
返回当前running services列表, getRunningServices
子类在move动画完成后调用, dispatchMoveFinished
返回section关联的value, getValue
创建带namespace支持的newPullParser, newPullParser
返回当前title, getTitle
zgemm执行矩阵运算C:=α*op(A)*op(B)+β*C, zgemm
将参数设为给定java.sql.Blob, setBlob
检测request是否active, isActive
这是一个 RESTful API 用于管理产品数据 并支持 CRUD 操作, productManagementCRUD
优化 SQL 查询 减少数据库 query 次数 提高性能, optimizeDatabaseQueries
实现用户登录和注册功能 通过 API 接口与后端交互 进行 token 校验, userLoginAndRegistrationAPI
在 MySQL 数据库中创建 table 用于存储用户 profile 信息, createDatabaseTables
这是一个 Controller 类 负责处理用户请求 调用 Service 层逻辑, UserController
配置 CI/CD pipeline 实现代码 commit 后自动 build 和 deploy, setupCI_CDPipeline
使用 Spring Boot 框架开发 microservice 提供 user authentication service, createAuthenticationService
编写 unit test 和 integration test 确保代码质量和功能稳定性, writeAndRunTests
处理 http request 解析 JSON 格式的请求体 并返回 response, handleHttpRequests
部署 Docker container 并使用 Kubernetes 进行 service 编排和管理, deployWithDockerAndK8s
监控系统 CPU 和内存 usage 设置 告警 (alert) 阈值, monitorSystemResources
实现一个 cache 机制 减少对数据库的 access 提升系统 performance, implementCachingMechanism
使用 Git 进行版本控制 遵循 Git Flow 工作流 定期 merge 代码, manageCodeWithGit
处理 big data 使用 Hadoop 和 Spark 进行 data processing 和分析, processBigData
定义 domain model 包含业务 entity 和 value object, defineDomainModels
使用 MQ (如 Kafka) 实现异步 communication 和解耦, setupAsyncMessageQueue
进行 code review 确保代码风格统一 发现潜在的 bug 或性能问题, performCodeReview
为 mobile app 开发 backend service 支持 iOS 和 Android 平台, createMobileBackendService
设计 API Gateway 负责 routing load balancing 和 authentication, designAPIGateway
当应用程序成为后台 app 并且另一个应用程序成为 foreground app 时调用, appMovedToBackground
在用户会话 user session 被切换时调用, userSessionDeactivated
将 lat long 经度值存储在 float 数组中, get lat long
设置圆形 button 的 background color, set color
一种方便的 method 使用该范围的最佳间隔查询给定范围内的所有统计信息 并合并结果 data, query and aggregate usage stats
从资源加载 interpolator 对象, load interpolator
返回给定 view 表示的项目的 adapter position, get position
当操作被 cancel edit 时调用回调 例如当用户通过后退键关闭 ime 窗口时, on guided action edit canceled
如果指定字符尚不存在 则将其添加到该 set 中, add
通过逻辑通道将 apdu 传输到 icc 卡, icc transmit apdu logical channel
添加 PropertyChangeListener至此 BeanContextChild 以便在指定的 property 发生更改时收到 PropertyChangeEvent, addPropertyChangeListener
将可序列化的 value 插入到该包的 map 中 替换给定 key 的任何现有值, put serializable
每当屏幕的 content view 因调用 window.set content view 或 window.add content view 而发生更改时 都会调用此 hook, on content changed
返回与 string id 关联的 activity 对象, get activity
当应用程序请求查找指定 time position 时调用, on time shift seek to
返回透明度 getTransparency
检索对等方通过辅助 message 发送的一组 file descriptors, get ancillary file descriptors
返回RenderedImages的 vector 它是此RenderedImage的 image data 的直接来源, getSources
返回表示OUT参数 parameterIndex的值的 object 如果支持转换 则将从参数的SQL type 转换为请求的Java data type, getObject
检查是否支持指定的 field, isSupported
将此排序规则 key 与另一个合并, merge
检索处理此 message 时将执行的 callback 对象, get callback
创建 sip 音频 call 以拨打电话, make audio call
确定 code point 在最新的 unicode 标准中是否具有定义的含义, is defined
返回由此管理的 preference 将使用的 shared preferences file 的当前 mode, get shared preferences mode
捕获可恢复的 exception 时调用此方法, exceptionThrown
返回由transition.epicenter回调指定的震中 如果不存在 callback 则返回null, get epicenter
释放对 USB interface 的独占访问, release interface
以 Rectangle对象的形式获取此对象的 bounds, getBounds
返回消息的 data, get data
返回用于将色调应用于不确定的可绘制对象的混合 mode（如果指定）, get indeterminate tint mode
删除 directory, deleteDirectory
获取在测量 time 接收到的 gnss satellite time（以纳秒为单位）, get received sv time nanos
将给定 property 应用于段落, setParagraphAttributes
返回CompletableFuture 保持与此 phase 相同的 completion properties, toCompletableFuture
返回指定 pixel 的 color/alpha 组分 在默认rgb颜色模型 format 中, getRgb
添加一个 listener 当列表视图的 content 滚动时将调用该 listener, add on scroll listener
每当选择 action bar 中的 navigation item 时都会调用此方法, on navigation item selected
设置搜索条件以匹配当前选择的 widget, selected
返回该 provider 的 power requirement, get power requirement
从其 activity 在给定包名称中实现的系统中删除先前通过添加首选活动 intent filter 组件名称添加的所有首选活动 map, clear package preferred activities
此 property 表示对 model value 的任何即将发生的更改都应视为单个 event, setValueIsAdjusting
返回具有给定 title 的第一个 tab index 如果没有 tab 具有此 title 则返回-1, setAccessibleColumnHeader
返回此 layout 的基本对齐方式, get alignment
指示该 animation 是否已开始, has started
返回一个普通的大 ten进制数 其小数点已向左移动指定的 location 数, move point left
返回未缩放的 screen - 放大区域焦点中心的相对 x 坐标, get center x
允许弹出窗口超出 screen 范围, set clipping enabled
返回该 item 当前是否可以显示 check mark, is checkable
根据当前 preference 更改面包屑的 base title, show bread crumbs
该方法的默认 implementation 返回一个空 animator, on appear
当启用 smooth scroll bar 时 scroll bar slider 的位置和大小是根据可见项目中可见 pixel 数计算的, set smooth scrollbar enabled
对整个 image 进行编码, encode image
从通知 compat.wearable Extender 中找到的可用 preset 中设置用于显示此通知的自定义尺寸 preset, set custom size preset
设置JProgressBar使用的数据 model, setModel
以 java.net.URL对象的形式检索JDBC DATALINK参数的值, getURL
设置此 number format 中使用的 rounding mode, set rounding mode
将指定参数设置为给定的Java String 值, setString
如果指定的 object 是数字整形器的实例且与此数字整形器以相同的方式整形 则返回true 不论范围表示、bit mask或 enumeration 如何, equals
检查 equals 和 hash code 方法的变体 string object object boolean 使用通用 message, check equals and hash code methods
处理新的 input binding 完成后调用输入方法 service.on bind input, bind input
取消选择路线并提供 reason, on unselect
返回给定 user 是否正在主动 running 或 stopping, is user running or stopping
设置此 node 是否以 accessibility 为中心, set accessibility focused
返回 video 的 frame rate 以每秒 fps 帧为单位, get video frame rate
设置此 view 的 layout direction, set layout direction
清除 path 中的所有直线和曲线 使其变空, reset
当 media scanner 完成 file 扫描时调用以通知 client, on scan completed
使用第一个可用 layer 轮廓填充轮廓 不包括 mask layer, get outline
为该 view 指定 size 和 position, set frame
请求从 nested scroll 中快速 fling, on nested fling
将 byte array value 绑定到此 statement, bind blob
设置匿名 identity, set anonymous identity
将 argb color 转换为其 cie 实验室代表成分, color to lab
根据 preference 的顺序在正确的位置添加 preference, add preference
压缩此 buffer （可选操作）, compact
从此 size sequence 中移除一组连续的 entries, removeEntries
返回此 map 中包含的 key 的NavigableSet view, keySet
返回所有外部存储设备上应用程序特定目录的 absolute path 其中可以找到应用程序的 obb file（如果有）, get obb dirs
当从该注册者注册的 BeanContext中删除 child 或 child list 时调用, childrenRemoved
获取调制 code 和 message 的 carrier frequency hz, get carrier frequency hz
返回可以绑定到给定 adapter position 的 view, get view for position and type
设置格式化诊断和其他 localized data 时要应用的 locale, setLocale
设置此 event 的 position, set location
获取公历 change date, get gregorian change
在获取 item position object 之后调用 以允许 super class 在 sub class 已覆盖获取 item position object 时更新其内部簿记, apply item position
提示 path 以准备添加更多 points, inc reserve
获取一个 Instrument从给定的 Patch, getInstrument
使用 command 部分中指定的 command 和 parameters 启动 process, start process
返回此 font 的 hash code, hashCode
获取当前 preset, get current preset
将 device 置于 speaker mode, set speaker mode
返回应用程序包的 assets manager 实例, get assets
对于给定的 package name 返回一个包含该用户的任何已保存应用程序 restriction 的包, get application restrictions
确定此 font metrics object 描述的 font 的最大 ascent, getMaxAscent
返回多重母版 design control 的数量, getNumDesignAxes
返回输入法当前是否以 full screen mode 运行, is fullscreen mode
访问NoType实例 visitNoType
结束 animation, end
检查是否支持指定的 field, isSupported
查询可选实现的 facet, get facet
设置 item 选定的 listener, set on item view selected listener
添加允许访问 vpn 连接的 app, add allowed application
比较这个 big decimal 与 rhs 是否相等, equals
将分隔符 position 设置为JSplitPane size 的百分比, setDividerLocation
删除 database 包括其 log file 和其他可能由 database engine 创建的辅助文件, delete database
检索默认启动 launcher package name, get launcher package name
启动此 activity 的新实例 仅显示给定的 preference fragment, start with fragment
跟踪表格列模型的选择 model 变化, getAutoCreateColumnsFromModel
列表中的数量为 DOMString, getLength
通知 host app 自动登录用户的请求已被处理, on received login request
告诉 listener 已将列添加到 model 中, columnAdded
创建供具有给定 type 且无 mipmap 的 script 使用的 allocation, create typed
设置货币 decimal separator, set monetary decimal separator
返回用于读取的 lock, readLock
读取一个 input byte 并返回 true如果该 byte 不为零 false如果该 byte 是零, readBoolean
取消注册先前通过注册音频录制回调注册的音频录制 callback 音频录制 callback, unregister audio recording callback
获取绿色奇数行 component, get green odd
返回long类型的 battery property value 如果平台没有提供查询的 property 则该值为long.min值, get long property
取消注册通过注册服务注册的 service nsd service info int nsd manager.registration listener, unregister service
获取与该 object 关联的 frame cancel signal, get cancellation signal object
检查此 date 是否在指定 date 之前 忽略 chronology, isBefore
取消任何正在进行的 auto focus 功能, cancel auto focus
返回此 presenter 创建的 list row 的 row height, get row height
设置 model object 以处理单一 selection, setSelectionModel
创建一个 animation vector drawable 兼容对象, create
图标, comboIcon
检索指定的JDBC DATE参数的 value 作为 java.sql.Date对象 使用给定的 Calendar对象构造 date, getDate
触摸 mode 改变时调用的 callback 方法, on touch mode changed
根据数据 matcher 选择与 adapter 上第 n 个 position 匹配的 view, at position
解析的 pattern 是否具有像 2 这样的编号 parameters, has numbered arguments
指定此 canvas 的 background bitmap 的 density, set density
响应 image consumer 对自上而下、自左至右（TDLR）顺序重发 pixel data 的请求, resendTopDownLeftRight
设置此 object 的 font, setFont
在用户修改了 drop gesture 时调用, dropActionChanged
返回最后一个可见 view 的 adapter position, find last visible item position
返回代表指定 character 的 key event 的 key stroke 的 shared 实例, getKeyStroke
返回一个新Condition绑定到该实例Lock实例, newCondition
列出当前注册的 authenticator, get authenticator types
更改此 button 的 checked 状态, set checked
根据大气压和海平面压力计算高度（以米为单位） get altitude
设置字符串绘制属性的 value 决定 progress bar 是否应渲染 progress string, setStringPainted
仅返回 get 测量的 width 和 state 以及 get 测量的 height 和 state 的 state bit 合并为一个整数, get measured state
相对批量 放置方法 （可选操作）, put
返回一段时间内某一天的 week number, week number
将状态转换为 string, to string
ICC配置文件标题 location：创建日期 profile, icHdrDate
返回当前 value 对应的 entry, get entry
获取与此 object 关联的 accessible text（如果存在）, createDefaultEditors
获取第 i 个 pattern “部分”, get part
构建代表文档提供者中特定 root 的最近修改 document 的 uri, build recent documents uri
设置 dst = 0 0, for each clear
执行给定的 tasks 返回完成所有 state 和 results 的Futures list, invokeAll
通过引用返回查找表 data, getTable
注册 listener 以便在 page find action 进度时收到通知, set find listener
为给定的 key words 和 locale 创建始终开启的热词 detector, create always on hotword detector
get touch Majorint 的第一个 pointer index 可以是任意 pointer identifier, get touch major
返回不与任何 player 或 effect 关联的新 audio session identifier, generate audio session id
设置录制期间生成的 output file 的 format, set output format
返回Print Service实例根本不支持该 property 的打印 property 类数组 如果没有此类 property 则 null, getUnsupportedAttributes
该方法应该由您的活动的 options item selected 方法调用, on options item selected
使用指定的 query 查询此 date, query
当需要创建 media route provider 时由系统调用, on create media route provider
设置当前iccid的第1行电话号码 string 及其alphatag仅用于 display, set line 1 number for display
每当可观察的 map 发生更改（包括插入、删除和更改的 values）时调用, on map changed
通过 color channel index 获取 component, get component
确定请求被丢弃的 reason 无论是由于 error 还是 user action, get reason
返回开始投掷的最小 velocity, get min fling velocity
设置 view 的 view outline provider 该 provider 生成定义其投射的 shadow shape 的 outline 并启用 outline clipping, set outline provider
（可选）设置 download 此包的 uri, set originating uri
分派正在进行的 nested scroll 的一步, dispatch nested scroll
当 dynamic sensor 与系统断开连接时调用, on dynamic sensor disconnected
允许应用程序从 disk 中删除自己的 data, clear application user data
判断此 buffer 是否等于另一个 object, equals
返回包含给定 id 的等价 group 中的 id, get equivalent id
标准apd us有一个1字节长度 field 允许最大255个有效负载 bytes 这导致最大apdu长度为261字节, is extended length apdu supported
测试 run 后将 logcat buffer 提取到 file, after test
尝试通过systemId在 directory 中查找匹配的 entry, matchSystem
返回该 sub type 的 display name, get display name
返回实现此 TV input 的 service 的 info, get service info
清除 context menu 的 title, clear header
设置表示本地 currency 的 international string, set international currency symbol
类似于开始搜索 string boolean component name bundle boolean 但实际上在调用 search dialog 后触发 search query, trigger search
如果存在则返回 parent 否则返回 null, get parent
调用以将 MIDI data 发送到具有指定 timestamp 的接收器, send
返回表示指定 cursor 的 character sequence, convert to string
获取窗口的 title, get title
当 obb 改变 state 时调用, on obb state change
将整个 stream 添加到 output stream 在input stream 参数上调用next（）直到hasNext（）返回false这应该被视为一个方便的 method, add
根据其解析的 layout direction 返回指定 view 的 start padding, get padding start
确定此doc对象将提供其 print data 的doc flavor, getDocFlavor
设置为此 session 启动 ui 的 intent, set session activity
创建一个 activity option 指定一个 animation 其中 thumbnail 从给定 location 缩放到正在启动的新 activity window, make thumbnail scale up animation
如果此 NFC adapter 启用了任何功能 则返回 true, is enabled
设置圆形 button 的 background color, set color
这将完成实例化被测试 application 的工作, set up
确定调用 application 在后台运行时是否受到计量 network 限制, get restrict background status
用给定的 time 构造一个关键帧 object, of float
当输入法的新 client 需要新的 input method session interface 时 由 framework 调用, on create input method session interface
将 src matrix 深度复制到该 matrix 中, set
返回此带注释的 type 表示的基础 type, getType
当应用程序成为 background app 并且另一个应用程序成为 foreground app 时调用, appMovedToBackground
获得 MidiDevice对象 它是这个的所有者 Transmitter, getMidiDevice
调用输入法service.on显示 completions, display completions
对给定的 segment 进行 encode 并将其附加到 path 中, append path
返回 document.location.href 的 value, get current url
显示逻辑行或列的 component 应计算 scroll increment 该 increment 将完全显示一个行或列的块, getScrollableBlockIncrement
使用自上次调用 prepare insert 或 prepare replace 以来的 binding value 执行先前准备的 insert 或 replace, execute
返回对表示 matrix value 的内部 array 的引用, get array
根据 viewpoint view center 和 up vector 定义观看变换, set look at m
创建用于将 yuv 转换为 RGB 的 intrinsic, create
覆盖以处理 queue 中 item 的更改, on queue changed
当指定类型的 route 被 remove 时调用, on route removed
返回 property animation 的当前 duration, get duration
在给定的 handler 上调用加载 drawable context 然后在完成后发送到同一个 handler, load drawable async
修复行的 width 以匹配 parent 行 如果未指定 layout height 则行的高度固定为 wrap content, set base attributes
将 matrix 与指定的 translation 进行后连接, post translate
获取该 item 所在的 row index, get row index
如果需要 从当前附加的 recycler view 中删除 view, remove view
将当前系统 wallpaper 更改为特定 byte stream 指定有关完整 image 的哪个子 rectangle 可见, set stream
将行 header 返回为 AccessibleTable, getAccessibleRowHeader
返回保存核心 Android OS 的“system”分区的 root directory, get root directory
返回 navigation icon click event 的 fallback listener, get toolbar navigation click listener
设置开始 performance test, start performance
返回此JTabbedPane的 string representation, paramString
返回以 string 表示的 size 格式为“ wxh ” to string
删除ActionListener, removeActionListener
返回该 item 的 media ID, get media id
指定一个新 path 或 null 表示没有 path, set path
返回此 dialog 中包含的 date picker, get date picker
通常 应调整 frame 的 size 以匹配其 parent bounds, maximizeFrame
设置（或更改）要编辑的 object, setValue
加载 etc1 texture 的便捷 method 无论活动 open gl context 是否支持 etc1 texture compression format, load texture
获取 date field, getDayOfMonth
将子 view animation 设置到给定的 left top position, smooth slide view to
将指定 set 中的所有 element 添加到此 property, addAll
返回一个 string array 其中包含对给定 date 的给定 locale 有效的 currency identifiers, get available currency codes
返回注释 带有内部 backslash 和前面有 backslash 的 parentheses, quote comment
读入给定的 list item ibinder objects 这些 objects 是在当前 data location 使用 write binder list list 写入的, read binder list
准备将在向上 navigation 期间从不同 task 生成的 synthetic task stack, on prepare navigate up task stack
从xml声明中获取 standalone declaration, isStandalone
指示该 view 是否对 click events 做出反应, is clickable
获得 MonthDay的 instance, of
执行此 document task, call
从 store 中删除 cookie, remove
返回 menu item 是否处于“activated” 状态, getWantsInput
允许 test 作者覆盖如果 column name/count 无效 matcher 是否应抛出 illegal argument exception, with strict column checks
构建 media route descriptor, build
设置推荐的 pricing 和 availability information, set pricing information
子类应重写此 method 以在提供的子类上设置 layout animation parameters, attach layout animation parameters
获取与CHARACTERS SPACE或CDATA events 关联的 text, getTextCharacters
设备是否支持配置dtmf音长 can change dtmf tone length
如果需要 最多等待 computation 完成的给定 time 然后检索其 result, get
计算对 message body 进行 encoding 所需的 SMS 数量以及下一条 message 之前剩余的 character 数, calculate length
在指定的 context 中计算已编译的XPath expression 并将 result 作为 String返回, evaluate
返回一个 velocity tracker object 以供其他人重新使用, recycle
执行所有 fragments 和 loaders 的 initialization, on create
设置 arg month parameter, set month
确定 client 在为此PrintService设置 job 时是否可以指定给定的 print attribute value, isAttributeValueSupported
检查指定 year 是否为 leap year, isLeapYear
给定 source 中的 point 返回相应 destination point 的 position, getPoint2D
返回当前选定的 string value, get selected string
返回前一个 layout pass 和当前 layout pass 之间的 layout space change, get total space change
当用户在 full screen mode 下运行时从 extracted text view 中选择 context menu item 时调用此 function, on extract text context menu item
指示该 progress bar 是否处于 indeterminate mode, is indeterminate
返回一个新的CompletionStage 当此 phase 正常完成时 使用此 phase 的默认 async execution tool 执行给定的 operation, thenRunAsync
创建给定限定名称和 namespace URI的 element, createElementNS
查找具有指定 focus type 的 view, find focus
返回所提供 service 的 implementation, getImplementations
向正在构建的 stream 添加 element, accept
检索这些 resources 的基础 asset manager storage, get assets
删除所有注册 observer, unregister all
注册一个 StatementEventListener这个 PooledConnection object, addStatementEventListener
扩展 selector 的 class 可以重写此 function 以在滚动列表时提供 behavior, on column value changed
添加可以在 node 上执行的 action, add action
该 method 供 content resolver 使用, insert
如果额外 value 与给定 name 关联 则返回 true, has extra
修改 view alpha 的最大 swipe distance, set end alpha swipe distance
设置搜索条件以匹配可长时间点击或不可长时间点击的 elements, long clickable
呼叫在 background 加载, on load in background
为负责绘制此 bitmap 的 renderer 设置 hint 指示在按比例缩小此 bitmap 时应尝试使用 mipmap, set has mip map
如果没有可用的 byte offset 则此 locator 指向的 input source 的 byte offset 为 -1, getByteOffset
从当前 data location 的 parcel 中读取并返回一个新的 sparse boolean array object, read sparse boolean array
覆盖用于该 delegate 的 host component 的 night mode, set local night mode
返回此 locale list 中 locale item 的数量, size
包含真实UI的 vector, uis
返回 native heap 中的可用 memory 量, get native heap free size
设置用户的 display name, set display name
在拖动 operation 正在进行时调用 当鼠标 pointer 退出注册该 listener 的 DropTarget的放置站点的可操作部分时, dragExit
返回此 range 与由指定的包含 range 的 intersection, intersect
返回指定 tag 的表格 size, getFontTableSize
计算该 view 应使用的 insets 以及应传播到其下方 view 的 insets, compute system window insets
指示第一次显示 view animation 时当前 view 是否应该 animate, set animate first view
将包含 string objects 的 list 压平到 parcel 中 在当前 data location 并根据需要增加 data capacity, write string list
设置用于生成 key pair 的自签名 certificate 的 serial number, set serial number
向 editor 停止时通知的 list 添加 listener 或 cancel edit, addCellEditorListener
返回与此 completion 相关的实际 text, get text
检查 user 是否知道 account 的 credentials, confirm credentials
设置两点之间沿圆的最大 angle, set maximum angle
如果 cursor 指向 start tag 则返回true（否则为false）, isStartElement
获取中心平面位置相对于该 axis 的 range, get flat
表明此 font object 是否具有除了 size property 之外还影响其 size 的 transform, isTransformed
设置为指示自J2SE 1.4以来的 serialization compatibility 的 class finger print, serialVersionUID
设置 platform notification template 第二行 text, set content text
执行 query 以返回给定 range 内与给定 query 匹配的所有 visible instance, query
创建一个 activity option 指定 display activity 时要运行的 custom animation, make custom animation
获取在按下或释放 operation 期间修改了哪个 button, get action button
该 function 检查 device 是否已实现 sustained performance mode, is sustained performance mode supported
如果 database 以 read only 方式打开 则返回 true, is read only
对给定的 parameters 执行此 action, accept
获取与此JTextArea关联的 accessible context, getAccessibleContext
将此 table 的 data model 设置为新 model 并与之注册 listener 通知, setModel
调用 get yvelocityint, get yv elocity
该 animation 何时开始, set start time
设置给定 row 和 column 的 value, set
内部 frame 关闭时调用, internalFrameClosed
执行向下翻页 move action, page down
重写此 method 以将 target view 滚动指定的 pixel 数, scroll target by
设置 event source audio session ID, set audio session id
返回本地化的 locale variant 以便在提供的 locale 中显示, get display variant
安排代表 alarm 的 alarm, set alarm clock
设置 currency amount format, format
检查 account 是否支持所有指定的 authenticator specific features, has features
设置此 data source 在尝试连接到 database 时将等待的最长时间（以秒为单位）, setLoginTimeout
返回存储在传递到 capture start value 的 transition value object 中的 property name set, get transition properties
获取指定 text offset 出现的 line number, get line for offset
返回总结此 buffer state 的 string, toString
返回一个 boolean value 指示是否选择了指定 row 和 column 的 accessibility, isAccessibleSelected
断言指定的 group 不包含特定的 sub group, assert group not contains
