Functional Description,Method Name
停止蓝牙语音识别模式，并关闭蓝牙音频路径,stop voice recognition
设置操作 bar.tab 侦听器，该侦听器将处理与此选项卡之间的切换,set tab listener
获取 db10 中的 evdo ec/io 值,get evdo ecio
预加载预定义的平台声音，以最大限度地减少稍后通过 playint 播放声音时的延迟,load
设置此TabbedPane的选中组件,columnRemoved
当回收器视图的滚动状态改变时调用的回调方法,on scroll state changed
返回与给定 key 关联的值，如果给定 key 不存在所需类型的映射，或者 null 值与该 key 显式关联，则返回 null,get size f
将指定的套接字绑定到该网络,bind socket
如果重写此方法，请调用超级方法以执行任何未知操作,on bind
处理重要事件。,processKeyEvent
指示转换开始的回调,on transition start
返回当前设置的摘要,get summary
如果您愿意，您可以设置自定义适配器,set suggestions adapter
设置相机的位置,set location
设置描边的宽度,set stroke width
从先前使用 write to Parcel 组件名称 Parcel 写入的 Parcel 中读取组件名称，根据需要返回 null 或新对象,read from parcel
获取事件中包含的记录数,get record count
返回一个数字键侦听器，该侦听器接受数字 0 到 9 ，仅在开头加上减号和/或小数点（如果指定）每个字段仅一个,get instance
查询有关指定 id 中包含的媒体项的信息，并订阅以在它们更改时接收更新,subscribe
返回已检查项目 id 的集合,get checked item ids
添加图像,put bitmap
立即关闭该套接字，并释放所有相关资源,close
ICC配置文件标记签名：'calt'。,icSigCalibrationDateTimeTag
处理父视图接收到的触摸事件,process touch event
返回给定纯文本的 html 转义表示,escape html
获得此合成器引起的处理延迟，以微秒表示。,getLatency
移除指定索引处的组件,remove
使用其document元素创建指定类型的DOM Document对象。,createDocument
返回指定组件的桌面窗格,getDesktopPaneForComponent
取消当前设备发现过程,cancel discovery
创建具有指定字段的媒体元数据实例,build
将值绑定到索引,bind
设置为指示序列化兼容性的类指纹。,serialVersionUID
要求虚拟显示器调整大小,resize
将脚本比重转换为绝对水平值,get absolute gravity
存储绘制此图标时要使用的颜色,set tint list
查找具有给定 id 的子视图,find view by id
获得适合显示的声音库的文本描述。,getDescription
此方法已被弃用。匹配视图后将 close 与 Perform 结合使用。该方法将在下一个版本中删除,close drawer
设置底部工作表的状态,set state
确保指定行中的节点被展开并可视,expandRow
检索此套接字的对等方的凭据,get peer credentials
构建 uri 表示对给定列文档 id 的后代文档的访问,build tree document uri
代表 ImageConsumer请求 ImageProducer尝试以TOPDOWNLEFTRIGHT顺序再次重新发送图像数据，以便可以使用依赖于按顺序接收像素的更高质量的转换算法来产生更好的图像输出版本。,requestTopDownLeftRightResend
将指定参数设置为 Reader对象。,setNCharacterStream
为给定的提供程序设置模拟启用值,set test provider enabled
返回分层窗格,getLayeredPane
返回该链接上的所有链接地址,get link addresses
禁用磁盘读取检测,permit disk reads
当配置为使用直接代理时，这将返回代理的主机,get host
返回图标的宽度。,getIconWidth
返回音频设备信息，标识该音轨的当前路由,get routed device
返回具有附加关闭处理程序的等效流。,onClose
将具有给定频率和指定区域设置类型的单词添加到字典中,add word
获取有关此媒体路由的提供商的信息,get provider
将这个图形上下文的当前颜色设置为指定的颜色,setColor
从此元素开头的文档开头获取偏移量。,getStartOffset
设置查询的投影图,set projection map
实现此方法以在中断过滤器更改时收到通知,on interruption filter changed
请求支持指定功能的第一个DOM实现的方法。,getDOMImplementation
通知服务应该停止监听语音,on stop listening
以声明顺序返回此可执行文件的形式类型参数。,getTypeParameters
启动有序关闭，其中先前提交的任务将被执行，但不会接受任何新任务。,shutdown
获取设备prop code事件参数,get device prop code
由托管配置文件的配置文件所有者调用，以检索受管理组织的名称,get organization name
覆盖克隆,clone
"在通知回调期间由回调注册表调用 object , int , 通知回调的对象",on notify callback
清除任何已保存的 http 身份验证凭据,clear http auth username password
更改此通道上所有音符的音高偏移。,setPitchBend
返回此set中小于或等于给定元素的最大元素，如果没有这样的元素，则 null 。,floor
手动将配置文件注册到相应的 sip 提供商以接收呼叫,register
获取指定的JDBC的价值 CHAR ， VARCHAR ，或 LONGVARCHAR参数为 String的Java编程语言。,getString
遵守 Object.hashCode的总合同。,hashCode
设置此视图当前是否正在跟踪框架应在可能的情况下尝试保留的瞬态,set has transient state
当前消耗的字节数。,streamBytes
返回过滤后目标光栅的边界框,getBounds2D
返回通过解析模式字符串创建的“parts”的数量,count parts
返回用于绘制这九个补丁的油漆,get paint
设置子操作列表,sub actions
如果事务即将回滚，则调用,on rollback
返回此关键事件的标志,get flags
表明该远程会议的通话能力发生变化,on connection capabilities changed
设置要生成的输出文件的路径,set output file
设置是否启用滚动助手并响应触摸事件,set enabled
制作此 CertPathValidatorResult的副本。,clone
返回为标签文本指定的任何资源标识符,get label resource
单击该对象,click
通知此 ConnectionEventListener应用程序已在其池化连接的表示上调用方法 close 。,connectionClosed
抽屉layout.drawer监听回调方法,on drawer closed
返回所需内容最大帧 - 该显示器的平均亮度数据（以 cd / m2 为单位）,get desired max average luminance
返回具有指定大写和更正属性的新实例或现有实例,get instance
设置旧平台 < api 21 上的矢量可绘制对象是否可以在可绘制容器资源中使用,set compat vector from resources enabled
停止监听此应用程序小部件的更改,delete app widget id
检索索引处属性的颜色值,get color
覆盖以处理媒体会话附加内容的更改,on extras changed
不同的触摸目标尺寸,describe precision
"获取块模式集，例如, gcm , cbc 加密/解密时可以使用密钥",get block modes
返回由设置保存的真实系统上下文,get system context
设置操作栏的背景,set background drawable
取消此包已向作业调度程序注册的所有作业,cancel all
如果在注册新指纹或删除所有注册指纹时密钥不可逆地失效，则返回 true,is invalidated by biometric enrollment
将指定集中的所有元素添加到该集中（如果它们尚不存在）,add all
创建一个指向路径指定的图像文件的图标,create with file path
开始前缀-URI名称空间映射的范围。,startPrefixMapping
禁用所有内容的检测,permit all
将当前系统壁纸更改为位图，指定完整图像的哪个子矩形可见的提示,set bitmap
调用此方法是为了通知您 s 内的某处文本已更改,after text changed
启动 wi - fi 保护设置,start wps
用于返回包含单个无符号 8 的元素的实用函数,u 8
与 get data 相同，但返回 uri 作为编码字符串,get data string
人脸检测的置信度,get score
菜单项 selectedint 的默认实现，活动菜单项,on menu item selected
此电话帐户的唯一标识符,get account handle
启动辅助会话时调用以从用户当前正在查看的应用程序接收数据,on handle assist
返回具有指定 id 的图层,find index by layer id
此输入源的公共标识符。,setPublicId
获取一个值并将其转换为 double,get as double
选择铃声时呼叫,on save ringtone
传输功率电平是否应包含在广告数据包中,set include tx power level
清除当前设备所有者,clear device owner app
启用或禁用该视图的长按事件,set long clickable
仅克隆与过滤器匹配相关的意图部分：操作、数据、类型、组件和类别,clone filter
设置通知标记的位置,set notification marker position
指示所有列是否可收缩,is shrink all columns
返回绑定到会话的应用程序层数据中给定名称的对象。,getValue
启用方向侦听器，以便在设备方向发生变化时监视传感器并调用方向更改,enable
将指定参数设置为给定输入流，该输入流将具有指定的字节数。,setBinaryStream
如果路由支持排队功能，则返回 true,is queuing supported
调用此方法是为了通知您指定的对象已附加到文本的指定范围,on span added
将 v的8个低位写入流。,writeByte
声音加载完成时调用,on load complete
如果wantsInput为true，返回用户输入的值,showInternalConfirmDialog
如果区域包含指定点，则返回 true,contains
当Sequencer遇到并处理了此侦听器感兴趣的控件更改事件时调用。,controlChange
控制此项是否可以显示复选标记,set checkable
设置要在对话框中显示的项目列表作为内容，您将通过提供的侦听器收到所选项目的通知,set items
检索有关在 drm 框架中注册的所有 drm 插件代理的信息,get available drm engines
可能会阻塞当前线程，例如等待锁定或条件。,block
在当前上下文中执行提供的原子（窗口和元素引用的组合）,perform
与补充代码点相同,is supplementary code point
指示所有列是否可拉伸,is stretch all columns
当首选项层次结构已附加到首选项活动时调用,on attached to activity
这是为了响应该视图中的内部滚动而调用的，即视图滚动了自己的内容,on scroll changed
在此 Web 视图中执行缩小操作,zoom out
返回进度条的主颜色,get progress color
返回代表此目标的图标以显示给用户,get icon
返回输入选择值,getSelectionValues
返回视图的开头，包括其装饰和边距,get decorated start
获取框架的标题,getTitle
返回分配给特定用户名的 uid，如果没有则返回 - 1,get uid for name
播放播放队列中具有特定 id 的项目,skip to queue item
获取纳秒级字段。,getNano
返回一个比较器， 按键以自然顺序比较Map.Entry 。,comparingByKey
将下一个属性作为Java编程语言中的 String写入流中。,writeNString
如果应选择编辑单元格，则返回true，否则返回false。,shouldSelectCell
返回与特定资源 ID 关联并针对当前主题设置样式的颜色,get color
返回与此日期/时间格式化程序关联的日历,get calendar
设置此整理器的强度属性,set strength
设置此通知的相对优先级,set priority
返回可用行数,get row count
按XML限定（加前缀）名称查找属性的索引。,getIndex
返回一个行过滤器，如果所提供的任何过滤器包含条目，则包含条目,orFilter
返回与此首选项关联的额外捆绑包对象，如果当前没有，则创建一个新捆绑包,get extras
返回用于在列表中绘制选择的选择器可绘制对象,get selector
将 MIDI 接收器连接到发送器,connect
获取当前控制音量的流,get audio stream
返回当前的音频模式,get mode
返回与getPath返回的路径相关的放置拖放数据的索引位置,getChildIndex
是语音信箱号码：对照 ril 和 SIM 卡提供的语音信箱号码检查给定号码,is voice mail number
返回有关此拖动事件对象的地块表示的信息,describe contents
返回历史触摸短轴坐标，根据 get touchminorint ，该坐标发生在给定指针的该事件和上一个事件之间,get historical touch minor
长按 ui 元素可见边界的中心,long click
方便使用给定画布的目标密度调用 get scaled widthint,get scaled width
导致此网络交互在评估之前提供对原子的给定元素引用,with element
为列表视图提供光标,set list adapter
返回 直接出现在此构造上的注释。,getAnnotationMirrors
将模型的最小值设置为 newMinimum 。,setMinimum
返回设置span对象时指定的标志，int，int用于附加指定的标记对象，如果尚未附加指定的对象，则返回0,get span flags
设置弹出菜单的标签,setLabel
添加一个观察者。,addTileObserver
设置与此TabbedPane一起使用的模型,setModel
指定颜色和 porter - duff 模式作为该可绘制对象的颜色过滤器,set color filter
将像素坐标中的点转换为视图坐标,toViewCoordinates
获取此工具栏的起始内容插图,get content inset start
“contentPane”是应用程序特定组件的主要容器。,setContentPane
设置点下方绘制的阴影的像素半径,get dot shadow radius
返回一个Rectangle2D，它包围了由此形状图形属性相对于渲染位置绘制的所有位,getBounds
ICC配置文件标记签名：'查看'。,icSigViewingConditionsTag
当整个数据集发生更改时调用此方法，很可能是通过调用游标上的重新查询来更改,on changed
获取前缀在此元素的上下文中绑定的值。,getNamespaceURI
设置卡片信息区域的可见性,set info visibility
返回实现此功能的 .apk 包,get package name
由管理设备的应用程序调用，以为此用户禁用设备上的所有摄像头,set camera disabled
请参阅后代 int 、 android.graphics.rect 中的请求焦点,on request focus in descendants
调用此尝试将焦点集中到特定视图或其后代之一,request focus
活动的 on create panel viewint 的默认实现,on create panel view
子类不能覆盖哈希码,hash code
获取给定时间范围内的应用程序使用统计信息，按指定时间间隔聚合,query usage stats
设置此 Web 视图的初始比例,set initial scale
返回 true如果参数表示相同的元件作为 this ，或 false否则。,equals
为编辑器设置初始值 value 。,getTableCellEditorComponent
冻结整理器,freeze
查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。,mismatch
将值设置为条目值中的给定索引,set value index
在棒棒糖之前的平台上，卡片视图不会裁剪卡片的圆角边界。,set prevent corner overlap
检索特定管理员或对此用户及其参与配置文件设置限制的所有管理员的密码中当前所需的字母数,get password minimum letters
请求更改该路线的音量,request set volume
设置渲染模式,set render mode
返回当前名称空间上下文。,getNamespaceContext
获取尺寸的高度（以像素为单位）,get height
如果此电视输入被传递，则返回 true - 通过该电视输入在电视提供商中没有任何真实频道,is passthrough input
返回与给定 unicode 脚本属性别名或缩写关联的脚本代码,get code from name
将一个字节序列写入当前位置的流。,write
创建一个共享此缓冲区内容的新长缓冲区。,duplicate
获取人类可读的工作标签,get label
设置（或更改）要编辑的对象。,setValue
查询编解码器支持的媒体类型,get supported types
添加一个新项目到菜单,add
返回包装的egl对象的本机句柄,get native handle
添加过滤器以便能够对结果调色板中允许的颜色进行细粒度控制,add filter
处理重要事件。,processKeyEvent
如果日历中有十二生肖名称字符串，则返回日历生肖名称字符串，例如：“rat”、“ox”、“tiger”等,get zodiac names
调用以指示视频大小，如果没有视频、未设置显示表面或尚未确定该值，则视频大小宽度和高度可以为0,on video size changed
获取时钟的漂移不确定性 1 - sigma（以纳秒每秒为单位）,get drift uncertainty nanos per second
表示该过程返回结果。,procedureReturnsResult
添加可以使用 tts 跨度跨越的字符序列和声音文件之间的映射,add speech
创建最小字幕格式,create subtitle format
由父视图组调用以通知当前与该视图关联的动画结束,on animation end
获取完全定义的转换的完整列表。,getTransitions
返回一个新实例，此期间的每个金额都被否定。,negated
设置自动曝光锁定状态,set auto exposure lock
返回拥有此会话的应用程序的包名称,get installer package name
返回注册回调的数量,get registered callback count
当 zygote 完成预加载资源时调用，以更改回正常资源操作,finish preloading
设置系统是否在表盘上绘制系统风格的时间,set show system ui time
返回指定条目的大小,getSize
注册一个回调，以便在录制过程中发生错误时调用,set on error listener
用于检索单个安全设置值的便捷功能,get long
当单击行内的项目时调用,on item clicked
获取该范围段内的最小包含频率,get min frequency
当片段第一次附加到其上下文时调用,on attach
确定区域中包含的行数,getLineCount
"将点的坐标偏移 dx , dy",offset
该请求正在与活动分离,on detached
返回此视图组上的布局操作期间的对齐基础：布局模式剪辑边界或布局模式光学边界,get layout mode
获取此输入设备支持的输入源作为组合位字段,get sources
返回此字体的逻辑名称,getName
返回此编辑器的JFormattedTextField子项,getTextField
"获取填充方案集，例如, pss , pkcs # 1 签名/验证时可以使用密钥",get signature paddings
返回此选项卡在操作栏中的当前位置,get position
zherk 执行 Hermitian 秩 k 运算之一 c := alpha aah + betac 或 c := alpha aha + betac 详细信息：,zherk
当托管配置文件或托管设备的配置成功完成时调用,on profile provisioning complete
返回由零个或多个模块查找器序列组成的模块查找器。,compose
方便保存图层左、上、右、下、画、全部保存标志,save layer
返回与此传输关联的远程控制客户端,get remote control client
返回ui是否需要刷新来表示当前数据,has pending bindings
对于未解析的实体，实体的表示法的名称。,getNotationName
返回无线电固件的版本字符串,get radio version
设置当前视图的指针图标,set pointer icon
写一个子字节数组。,write
返回一个日期格式对象，该对象可以将日期格式化为长格式，例如当前语言环境的 2000 年 1 月 3 日星期一,get long date format
为此操作模式设置自定义视图,set custom view
获取应用这些统计信息的时间间隔的结束时间,get end time nano
返回该动作模式的当前标题,get title
返回一个位置，指示从给定提供商获得的最后一个已知位置修复的数据,get last known location
将此 RowSet对象可包含的最大行数设置为指定的数字。,setMaxRows
返回当前索引处的代码单元,current
返回应用于孩子上衣的物品装饰的总高度,get top decoration height
返回地址的位置，例如“山景”，如果未知则返回 null,get locality
设置应用于捕获的可视化数据的缩放类型,set scaling mode
执行单个 sql 语句，该语句不是 select 或任何其他返回数据的 sql 语句,exec sql
处理鼠标事件。,processMouseEvent
DTD的名称; 即紧跟在DOCTYPE关键字后面的名称。,getName
ICC配置文件标记签名：'ps2s'。,icSigPs2CSATag
设置应返回的建议聚合的最大数量,set limit
调用启动和恢复实例状态包后，活动启动完成时调用,on post create
调用 get xvelocityint,get xv elocity
在应用程序处理其生命周期更改事件后调用，例如在创建时调用，这些回调可能发生在主线程上，因此实现者应限制执行的处理量,on application lifecycle changed
返回默认区域设置的十进制格式符号实例,get instance
调至给定频道,on tune
返回行列表,get adapter
获取当前评分满星数,get rating
返回与给定 key 关联的值，如果给定 key 不存在所需类型的映射，则返回 0l,get long
单击视图时调用,on click
从树中删除节点后调用。,treeNodesRemoved
尝试将此映射转换为另一个 java 对象,attempt de json ize
添加固定视图以显示在列表顶部,add header view
返回此可执行文件的返回类型。,getReturnType
由托管个人资料的个人资料所有者调用以确定是否已禁用联系人搜索,get cross profile contacts search disabled
返回短月份字符串,get short months
检查在拦截触摸事件时提供给父视图的此事件是否应导致父视图拦截触摸事件流,should intercept touch event
删除内容 uri 指定的行,delete
获取与帐户关联的同步状态或 null,get
选择菜单时调用。,menuSelected
如果键入了键（即收到KEY_TYPED KeyEvent）并且没有绑定，则获取要触发的默认操作。,getDefaultAction
on start 的这种实现将保证应用程序的 on create 方法在返回时已完成。,on start
如果此 UndoableEdit应替换 anEdit则返回true。,replaceEdit
设置字节缓冲区键的值,set byte buffer
物业的价值 JScrollBar.isFreeStanding 。,isFreeStanding
返回此范围指定的文本大小，如果未指定，则返回 - 1,get text size
设置 5 kHz 高频衰减时间与低频衰减时间的比率,set decay hfr atio
设置数字的整数部分允许的最大位数,set maximum integer digits
获取提供给片段事务的名称。创建此条目时添加到后台堆栈字符串,get name
返回构造该对象的区域设置,get locale
返回当前配置的最小速度,get min velocity
指定创建连接时使用的 shardingKey,shardingKey
设置对象相对于父对象的位置。,setLocation
如果徽标视图绑定到图像，则返回 true,is bound to image
与获取消息相同，不同之处在于它还设置返回消息的 What 和 obj 成员,obtain message
设置共享数据的类型,set type
获取 android auto 在大声读取该对象的消息列表中的所有消息后将发送的挂起意图,get read pending intent
在强制参数遵守通常的约束后，设置四个有界范围模型属性：,setValues
获取此键映射中定义的所有操作。,getBoundActions
注册本地服务以进行服务发现,add local service
添加一个新的意图数据方案来匹配,add data scheme
返回此视图层次结构的视图树观察者,get view tree observer
返回该位置的项目占用的跨度数,get span size
从此月 - 日获取指定字段的值，作为 long 。,getLong
如果您和您正在处理的 IPC 的调用进程都没有被授予特定权限，则抛出安全异常,enforce calling or self permission
